id	question	correctAnswer	answerA	answerB	answerC	answerD
100165	Stars generate large amounts of energy when nuclei with small mass undergo fusion to form nuclei with larger mass. Which of the four basic forces of the universe is responsible for the energy released during fusion?	B	weak force	strong force	gravitational force	electromagnetic force
100166	What best describes objects orbiting in the Kuiper Belt?	D	metallic	rocky	hot	icy
100167	An air mass in a valley travels up a mountainside. What causes the movement of this air?	C	tidal pull of the moon's gravity	evaporation of water from soil in the valley	warming by solar energy re-radiated from the ground	cooling effect of ice crystals in the air over the mountain
100168	What characteristic of viruses distinguishes them from cells?	C	They do not have hereditary material.	They are not separated from their environments.	They lack an independent metabolism.	Their traits do not evolve in response to selection pressures.
100169	Which of the following would make the best insulator against the flow of electricity?	C	copper wire	steel tubing	plastic tape	aluminum foil
100170	Birds that do not receive adequate nutrition during development sing less often and for shorter periods of time as adult birds. Which best describes the outcome of nutritional stress in these songbirds?	D	They are less likely to ward off predators.	They are less likely to obtain good nesting sites.	They are less likely to find adequate food supplies.	They are less likely to attract mates and pass on their genes.
100171	Where is the smallest negatively-charged particle found in an atom?	C	nucleus	orbits in the nucleus	orbits around the nucleus	between the proton and neutron
100172	Greenhouse gases in the atmosphere trap heat near Earth's surface. Which of these is a greenhouse gas?	C	nitrogen	argon	water vapor	oxygen
100173	During photosynthesis, plants absorb light energy from the Sun and convert it into chemical energy in the form of glucose. Which compounds combine in the presence of sunlight to form glucose?	C	carbon dioxide (CO2) and hydrogen (H2)	oxygen (O2) and carbon dioxide (CO2)	carbon dioxide (CO2) and water (H2O)	oxygen (O2) and water (H2O)
100174	Garrett collected some large rocks from a stream near his home. He measured the rocks on a balance. When he records the mass of the rocks, which units should Garrett use?	B	pounds	kilograms	fluid ounces	cubic centimeters
100175	The continuous changing of Earth's surface is evidence that supports the nebular hypothesis.  Earth's surface continues to change because of its __________.	A	layered structure	atmospheric gases	vast oceans	continental displacement
100176	Simple machines used to reduce the amount of effort needed to do work are known as levers.  In lever systems, the amount of input work in the system is always	B	twice the amount of output work.	greater than the amount of output work.	less than the amount of output work.	equal to the amount of output work.
100177	The human stomach helps break down food for digestion. Which statement best describes the stomach?	D	It is part of a cell with a specific function.	It is a single cell that performs a life function.	It is made up of a small number of cells that perform a single function.	It is composed of millions of cells of several types working together to perform a function.
